Channel ID,Channel URL,Channel title
UC-6IQO6g1NuJiaS3uTId3oQ,http://www.youtube.com/channel/UC-6IQO6g1NuJiaS3uTId3oQ,Psyphoria
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC-CSyyi47VX1lD9zyeABW3w,http://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee
UC-aVkxFEKJYV33-dhFGHxhw,http://www.youtube.com/channel/UC-aVkxFEKJYV33-dhFGHxhw,Manik Mahna
UC-e2aGRMGMl67MDJoqcj19Q,http://www.youtube.com/channel/UC-e2aGRMGMl67MDJoqcj19Q,Eye on Tech
UC-fzWbU1zavz77kP1gPPdSg,http://www.youtube.com/channel/UC-fzWbU1zavz77kP1gPPdSg,Sports Central by DRM
UC-hKNOj4P-Y8hR9QEHpZPig,http://www.youtube.com/channel/UC-hKNOj4P-Y8hR9QEHpZPig,Bridgewater Associates
UC-tcbi9sMrIDV45hVvQXTKA,http://www.youtube.com/channel/UC-tcbi9sMrIDV45hVvQXTKA,We Study Companies
UC-uhvujip5deVcEtLxnW8qg,http://www.youtube.com/channel/UC-uhvujip5deVcEtLxnW8qg,TLDR News Global
UC0EQ6ESgYR3e_fnEeHdRZcw,http://www.youtube.com/channel/UC0EQ6ESgYR3e_fnEeHdRZcw,Siddharth Dudeja
UC0HUObs4U2xuyUQK50PLX9Q,http://www.youtube.com/channel/UC0HUObs4U2xuyUQK50PLX9Q,Pawan Please
UC0SOuDkpL6qpIF1o4wRhqRQ,http://www.youtube.com/channel/UC0SOuDkpL6qpIF1o4wRhqRQ,The Thinking Game Film 
UC0a6k1PuUJrZMJ01xg_wyHQ,http://www.youtube.com/channel/UC0a6k1PuUJrZMJ01xg_wyHQ,Inder Sahani
UC0gsMYK1dqQ5KqOQfavVNkg,http://www.youtube.com/channel/UC0gsMYK1dqQ5KqOQfavVNkg,Bangladesh Cricket : The Tigers
UC0jHyqsVKx0XokQp2h2UHsg,http://www.youtube.com/channel/UC0jHyqsVKx0XokQp2h2UHsg,Manish Chaubey
UC0p5jTq6Xx_DosDFxVXnWaQ,http://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist
UC0vBXGSyV14uvJ4hECDOl0Q,http://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie
UC0wOrSaO_sBGGU9Jderpk7g,http://www.youtube.com/channel/UC0wOrSaO_sBGGU9Jderpk7g,MIT Sloan Management Review
UC0yXUUIaPVAqZLgRjvtMftw,http://www.youtube.com/channel/UC0yXUUIaPVAqZLgRjvtMftw,Ravish Kumar Official
UC11O9Kt8H4O37Tfjyxz1O9Q,http://www.youtube.com/channel/UC11O9Kt8H4O37Tfjyxz1O9Q,Madhur Virli
UC11aHtNnc5bEPLI4jf6mnYg,http://www.youtube.com/channel/UC11aHtNnc5bEPLI4jf6mnYg,Predictive History
UC16niRr50-MSBwiO3YDb3RA,http://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,BBC News
UC1DtEMePmr4O6F2do6BVl7A,http://www.youtube.com/channel/UC1DtEMePmr4O6F2do6BVl7A,Rahul Gandhi
UC1NF71EwP41VdjAU1iXdLkw,http://www.youtube.com/channel/UC1NF71EwP41VdjAU1iXdLkw,Narendra Modi
